video_id,thumbnails
2lrBphwQOrI,https://i.ytimg.com/vi/2lrBphwQOrI/default.jpg
XMilHdBYZzA,https://i.ytimg.com/vi/XMilHdBYZzA/default.jpg
8qwjvDROE4E,https://i.ytimg.com/vi/8qwjvDROE4E/default.jpg
q9bX7EkMvrA,https://i.ytimg.com/vi/q9bX7EkMvrA/default.jpg
FjPvXMwTwQo,https://i.ytimg.com/vi/FjPvXMwTwQo/default.jpg
FPg89qonG0E,https://i.ytimg.com/vi/FPg89qonG0E/default.jpg
2t3GnbhbVCc,https://i.ytimg.com/vi/2t3GnbhbVCc/default.jpg
dwV04XuiWq4,https://i.ytimg.com/vi/dwV04XuiWq4/default.jpg
_YTWwTo6xcY,https://i.ytimg.com/vi/_YTWwTo6xcY/default.jpg
uUio9YoGhxo,https://i.ytimg.com/vi/uUio9YoGhxo/default.jpg
OxoOSohmaag,https://i.ytimg.com/vi/OxoOSohmaag/default.jpg
qlzVPauUgw8,https://i.ytimg.com/vi/qlzVPauUgw8/default.jpg
rT9PI5q2Etc,https://i.ytimg.com/vi/rT9PI5q2Etc/default.jpg
VOzA2V4HbJA,https://i.ytimg.com/vi/VOzA2V4HbJA/default.jpg
uPCi5Rs7EuA,https://i.ytimg.com/vi/uPCi5Rs7EuA/default.jpg
DXcuvtbotYQ,https://i.ytimg.com/vi/DXcuvtbotYQ/default.jpg
7y-hKLfeurY,https://i.ytimg.com/vi/7y-hKLfeurY/default.jpg
i25i6vyjIpg,https://i.ytimg.com/vi/i25i6vyjIpg/default.jpg
rQWb_oYS1tg,https://i.ytimg.com/vi/rQWb_oYS1tg/default.jpg
5LZ_G8jRGHg,https://i.ytimg.com/vi/5LZ_G8jRGHg/default.jpg
JHiLEkV8l_8,https://i.ytimg.com/vi/JHiLEkV8l_8/default.jpg
-qATVnpaHTo,https://i.ytimg.com/vi/-qATVnpaHTo/default.jpg
4RkZAfD-HeM,https://i.ytimg.com/vi/4RkZAfD-HeM/default.jpg
6bH9Qb_feRY,https://i.ytimg.com/vi/6bH9Qb_feRY/default.jpg
wSB9JvsBT4M,https://i.ytimg.com/vi/wSB9JvsBT4M/default.jpg
muzeGsrYpnQ,https://i.ytimg.com/vi/muzeGsrYpnQ/default.jpg
No8-mBek3rs,https://i.ytimg.com/vi/No8-mBek3rs/default.jpg
6re9XAwo4b4,https://i.ytimg.com/vi/6re9XAwo4b4/default.jpg
RohJfM-VFS0,https://i.ytimg.com/vi/RohJfM-VFS0/default.jpg
DkW87-Z9FAY,https://i.ytimg.com/vi/DkW87-Z9FAY/default.jpg
QU1byle-nmA,https://i.ytimg.com/vi/QU1byle-nmA/default.jpg
v-dfygYIfLs,https://i.ytimg.com/vi/v-dfygYIfLs/default.jpg
9m9oO84Q2fk,https://i.ytimg.com/vi/9m9oO84Q2fk/default.jpg
FepIkIILumA,https://i.ytimg.com/vi/FepIkIILumA/default.jpg
Hk5dxn5dj2M,https://i.ytimg.com/vi/Hk5dxn5dj2M/default.jpg
hYirFqEc8Tg,https://i.ytimg.com/vi/hYirFqEc8Tg/default.jpg
S9KxqRUcnCU,https://i.ytimg.com/vi/S9KxqRUcnCU/default.jpg
Wh1L0rOaa88,https://i.ytimg.com/vi/Wh1L0rOaa88/default.jpg
MuPL-PSMX0Q,https://i.ytimg.com/vi/MuPL-PSMX0Q/default.jpg
qZHycHI3F1Q,https://i.ytimg.com/vi/qZHycHI3F1Q/default.jpg
WpqUOW19aJQ,https://i.ytimg.com/vi/WpqUOW19aJQ/default.jpg
VRJmcxCrAOA,https://i.ytimg.com/vi/VRJmcxCrAOA/default.jpg
g1QONg2b2JQ,https://i.ytimg.com/vi/g1QONg2b2JQ/default.jpg
9oyKePWRi8Y,https://i.ytimg.com/vi/9oyKePWRi8Y/default.jpg
ycVc1jsaAA0,https://i.ytimg.com/vi/ycVc1jsaAA0/default.jpg
-RmUADCWI4A,https://i.ytimg.com/vi/-RmUADCWI4A/default.jpg
VJwoSfTOhyM,https://i.ytimg.com/vi/VJwoSfTOhyM/default.jpg
cqylLiMzk54,https://i.ytimg.com/vi/cqylLiMzk54/default.jpg
ygtvRzTLPNo,https://i.ytimg.com/vi/ygtvRzTLPNo/default.jpg
sOCQipbEqNg,https://i.ytimg.com/vi/sOCQipbEqNg/default.jpg
RdNqmKrRmbU,https://i.ytimg.com/vi/RdNqmKrRmbU/default.jpg
XM23h-eJ08A,https://i.ytimg.com/vi/XM23h-eJ08A/default.jpg
LcZ2AuvxXNA,https://i.ytimg.com/vi/LcZ2AuvxXNA/default.jpg
8IQbF0IK-f4,https://i.ytimg.com/vi/8IQbF0IK-f4/default.jpg
gA8Gru79DcE,https://i.ytimg.com/vi/gA8Gru79DcE/default.jpg
6uhN97Cpz6I,https://i.ytimg.com/vi/6uhN97Cpz6I/default.jpg
TvNTcB6c-V8,https://i.ytimg.com/vi/TvNTcB6c-V8/default.jpg
ggR_SPwP6cw,https://i.ytimg.com/vi/ggR_SPwP6cw/default.jpg
3J6o7hcm8bE,https://i.ytimg.com/vi/3J6o7hcm8bE/default.jpg
tsEoLVBk_Ts,https://i.ytimg.com/vi/tsEoLVBk_Ts/default.jpg
A2FsgKoGD04,https://i.ytimg.com/vi/A2FsgKoGD04/default.jpg
